Player,Image,Eliminated
Stephanie,https://ew.com/thmb/gV2wg6u_jNbEUX198e1bd_9OymI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-24-962bd9c92da04f47a5f3a3581d567888.jpg,Yes
Shauhin,https://ew.com/thmb/IyRkuKJVhHx9t-yrJay1JXNxGWU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-14-8830d0cd4d1c491680e40e6882d39a20.jpg,
Eva,https://ew.com/thmb/YIRiIVakBtC_ZCDHWt_Co3ZUrPQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-34-dd28e914df554d35affb93cc30816938.jpg,
Kyle,https://ew.com/thmb/ypgTA3ja6xqMS9ig_8i9af5aaqY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-10-a44633f954624164b86668ac620b607f.jpg,
Mitch,https://ew.com/thmb/E_zlSQ6Q0gYcbyplvpuZ8HWvzAw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-20-656d66e001684998a2d161293775f1a6.jpg,
Sai,https://ew.com/thmb/RvPCPYoZasSnvA_iVhWwEAqDlh8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-28-0bd4bda74f76497eacd679f6ed65c5c4.jpg,Yes
Joe,https://ew.com/thmb/bpipV-dFqE4-WTFrwQ1oqvvs44E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-26-b2d715e3beb847d2a933f5f04808df80.jpg,
Kamilla,https://ew.com/thmb/9qHu-_7xk9wkQ8NQ__3tMtbtf5w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-16-3c2b42c63deb4235bc744e1a9f74e297.jpg,
David,https://ew.com/thmb/g77ESZoDOnHy6ahT8IQNBpKvLcI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-22-b01a248d956e44fbaa5554d51b38dfb4.jpg,Yes
Thomas,https://ew.com/thmb/a1vpgEOmNQmUulIoX4ANJbp7iu0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-32-0f7b909cfeb9452c88e40a7696676017.jpg,Yes
Kevin,https://ew.com/thmb/DFg71B2wXihTOIPiajd8u6w5OHQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-38-64b90750b8df4b248a926c008dd00928.jpg,Yes
Cedrek,https://ew.com/thmb/KZ0QcqrYqHqX7CjYZYFSoAy_MVE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-30-55da4cf048a04d5d983f75de10141637.jpg,Yes
Charity,https://ew.com/thmb/KcfEDV84Ov3T7EIjEzfLCh7zmak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-18-991eefcfa71347288ffb3cb20689d3f0.jpg,Yes
Justin,https://ew.com/thmb/cdJ1d-_bNSiDl2SO2anq_ImKYuw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-42-2ea617d5477e4ebc8d20fdd8ab77d7ee.jpg,Yes
Bianca,https://ew.com/thmb/EtHaIccSh8y9KgDcc4RL7zH2-Wg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-36-9a1b71c265864ff9a82154fd7dacc489.jpg,Yes
Chrissy,https://ew.com/thmb/JiJQT9iwkJ61LBMS4DqqY_Iaeow=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-12-5e4c5ac37dda4ca4a10283592dbe94fd.jpg,Yes
Star,https://ew.com/thmb/LhrZNtzWnNaLuMBXMlFnFwFxqWA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-08-94127f46e14c41798765e7f51013ed22.jpg,Yes
Mary,https://ew.com/thmb/8BfOkctKwI5FYNWHiS8zkeNxJtc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SURVIVOR48-012825-40-06c15ae681614a04bbc2ae9edc4e4cd9.jpg,
